timestamp,open,high,low,close,volume
2023-01-01 00:00:00,1196.13,1196.74,1191.71,1194.04,20292.0602
2023-01-01 04:00:00,1194.05,1195.75,1190.57,1195.06,18654.4594
2023-01-01 08:00:00,1195.07,1197.41,1193.98,1196.34,10749.1851
2023-01-01 12:00:00,1196.35,1198.5,1193.54,1196.81,15490.8573
2023-01-01 16:00:00,1196.81,1204.51,1195.88,1201.78,31016.5151
2023-01-01 20:00:00,1201.77,1204.67,1199.36,1200.34,21558.9914
2023-01-02 00:00:00,1200.33,1203.53,1193.0,1201.94,32154.2478
2023-01-02 04:00:00,1201.94,1220.0,1199.87,1213.09,66008.5222
2023-01-02 08:00:00,1213.08,1224.29,1212.74,1217.35,66284.4263
2023-01-02 12:00:00,1217.35,1220.98,1214.04,1219.0,36928.9083
2023-01-02 16:00:00,1219.0,1220.29,1215.74,1218.87,19161.1508
2023-01-02 20:00:00,1218.88,1223.85,1211.22,1214.0,32256.8846
2023-01-03 00:00:00,1213.99,1216.81,1211.5,1215.59,24749.0492
2023-01-03 04:00:00,1215.58,1219.89,1213.41,1216.61,21528.6796
2023-01-03 08:00:00,1216.61,1218.57,1213.99,1214.98,29878.862
2023-01-03 12:00:00,1214.98,1219.24,1206.0,1211.76,58325.5432
2023-01-03 16:00:00,1211.77,1212.76,1204.93,1209.5,34435.0998
2023-01-03 20:00:00,1209.51,1216.39,1209.44,1214.55,36602.2606
2023-01-04 00:00:00,1214.56,1254.96,1212.71,1250.74,139538.0914
2023-01-04 04:00:00,1250.73,1254.54,1247.3,1252.0,68736.3706
2023-01-04 08:00:00,1252.0,1264.0,1248.59,1251.58,46922.3247
2023-01-04 12:00:00,1251.59,1258.09,1241.89,1255.88,71909.5254
2023-01-04 16:00:00,1255.89,1272.6,1251.12,1254.38,94491.386
2023-01-04 20:00:00,1254.39,1257.7,1245.44,1256.9,36201.9667
2023-01-05 00:00:00,1256.91,1259.95,1252.19,1252.77,44218.6322
2023-01-05 04:00:00,1252.77,1255.0,1247.48,1251.03,39603.8474
2023-01-05 08:00:00,1251.03,1256.14,1245.3,1255.91,51362.3283
2023-01-05 12:00:00,1255.9,1256.01,1242.81,1249.11,74344.8435
2023-01-05 16:00:00,1249.11,1254.98,1246.71,1253.62,27613.9471
2023-01-05 20:00:00,1253.62,1254.31,1248.19,1251.24,35661.7315
2023-01-06 00:00:00,1251.25,1257.98,1248.17,1251.02,36134.6253
