Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1.5221991403849864,2023-01-09 04:00:00,1312.57596,1.9980019980018824,2023-01-26 20:00:00,1600.289455,2.4359592327681585,433.52327353539033,0.21697839840446284,Long,Closed,0
1,0,1.5212022754909225,2023-01-31 16:00:00,1598.1386699999998,2.4310921813539608,2023-02-09 04:00:00,1629.055065,2.4781222717780125,42.12087597084419,0.017325906559159877,Long,Closed,1
2,0,1.4337205859281705,2023-02-16 12:00:00,1725.00207,2.473170978527378,2023-02-23 08:00:00,1636.66126,2.346514940653138,-131.47572379374947,-0.053160790311399225,Long,Closed,2
3,0,1.4121862060718344,2023-03-01 12:00:00,1658.2987349999999,2.3418265991131193,2023-03-03 20:00:00,1568.665275,2.2152474632988812,-131.1362098769031,-0.05599740387548419,Long,Closed,3
4,0,1.3258590906038261,2023-03-14 04:00:00,1667.4633150000002,2.2108213944407,2023-03-25 08:00:00,1744.377375,2.3127986000873895,97.45358565171988,0.04408026170578764,Long,Closed,4
5,0,1.2892580343393587,2023-03-30 12:00:00,1790.3147099999999,2.30817762386323,2023-04-20 12:00:00,1944.9370450000001,2.507525711550501,194.53238435164843,0.08427964223396256,Long,Closed,5
6,0,1.314842870401012,2023-04-28 08:00:00,1903.2811649999999,2.5025156701685773,2023-05-02 08:00:00,1832.653215,2.409651013660243,-97.77682319236797,-0.039071412961731194,Long,Closed,6
7,0,1.2072681701713635,2023-05-05 16:00:00,1991.9654850000002,2.404836526120107,2023-05-09 08:00:00,1845.83662,2.228419798662695,-181.04998378255084,-0.0752857759003789,Long,Closed,7
8,0,1.2296257687516798,2023-05-17 04:00:00,1808.653875,2.223967411452122,2023-05-21 08:00:00,1808.57526,2.2238707444227694,-4.544505185685197,-0.002043422561986627,Long,Closed,8
9,0,1.1888093714301022,2023-05-23 00:00:00,1866.933,2.219427446231748,2023-05-26 12:00:00,1829.92458,2.175431489714294,-48.390815453767054,-0.02180328784160948,Long,Closed,9
10,0,1.1771087460074294,2023-05-28 08:00:00,1844.42175,2.1710849732512543,2023-06-05 20:00:00,1809.5947500000002,2.1300898069541283,-45.29634107740567,-0.0208634584253843,Long,Closed,10
