timestamp,portfolio_value
2023-01-01 00:00:00,2000.0
2023-01-01 04:00:00,2000.0
2023-01-01 08:00:00,2000.0
2023-01-01 12:00:00,2000.0
2023-01-01 16:00:00,2000.0
2023-01-01 20:00:00,2000.0
2023-01-02 00:00:00,2000.0
2023-01-02 04:00:00,2000.0
2023-01-02 08:00:00,2000.0
2023-01-02 12:00:00,2000.0
2023-01-02 16:00:00,2000.0
2023-01-02 20:00:00,2000.0
2023-01-03 00:00:00,2000.0
2023-01-03 04:00:00,2000.0
2023-01-03 08:00:00,2000.0
2023-01-03 12:00:00,2000.0
2023-01-03 16:00:00,2000.0
2023-01-03 20:00:00,2000.0
2023-01-04 00:00:00,2000.0
2023-01-04 04:00:00,2000.0
2023-01-04 08:00:00,2000.0
2023-01-04 12:00:00,2000.0
2023-01-04 16:00:00,2000.0
2023-01-04 20:00:00,2000.0
2023-01-05 00:00:00,2000.0
2023-01-05 04:00:00,2000.0
2023-01-05 08:00:00,2000.0
2023-01-05 12:00:00,2000.0
2023-01-05 16:00:00,2000.0
2023-01-05 20:00:00,2000.0
2023-01-06 00:00:00,2000.0
2023-01-06 04:00:00,2000.0
2023-01-06 08:00:00,2000.0
2023-01-06 12:00:00,2000.0
2023-01-06 16:00:00,2000.0
2023-01-06 20:00:00,2000.0
2023-01-07 00:00:00,2000.0
2023-01-07 04:00:00,2000.0
2023-01-07 08:00:00,2000.0
2023-01-07 12:00:00,2000.0
2023-01-07 16:00:00,2000.0
2023-01-07 20:00:00,2000.0
2023-01-08 00:00:00,2000.0
2023-01-08 04:00:00,2000.0
2023-01-08 08:00:00,2000.0
2023-01-08 12:00:00,2000.0
2023-01-08 16:00:00,2000.0
2023-01-08 20:00:00,2000.0
2023-01-09 00:00:00,2000.0
2023-01-09 04:00:00,1999.4006992507743
2023-01-09 08:00:00,2000.340070537347
2023-01-09 12:00:00,2001.0265431017742
2023-01-09 16:00:00,2001.611763285251
2023-01-09 20:00:00,1998.9311297226036
2023-01-10 00:00:00,1999.568833938408
2023-01-10 04:00:00,1999.5103119200603
2023-01-10 08:00:00,2000.6642639405745
2023-01-10 12:00:00,2002.401578302713
2023-01-10 16:00:00,2004.8434791873387
2023-01-10 20:00:00,2005.0248509981702
2023-01-11 00:00:00,2004.455422470438
2023-01-11 04:00:00,2005.1639569068616
2023-01-11 08:00:00,2004.9572720007925
2023-01-11 12:00:00,2002.5114232022306
2023-01-11 16:00:00,2007.570791026525
2023-01-11 20:00:00,2016.2800456928526
2023-01-12 00:00:00,2015.6758666218363
2023-01-12 04:00:00,2013.7656395436302
2023-01-12 08:00:00,2015.148267470465
2023-01-12 12:00:00,2012.6256011763455
2023-01-12 16:00:00,2030.2725555387738
2023-01-12 20:00:00,2029.416863950306
2023-01-13 00:00:00,2030.0741535128393
2023-01-13 04:00:00,2028.9226263868145
2023-01-13 08:00:00,2031.059093637133
2023-01-13 12:00:00,2038.1507246155318
2023-01-13 16:00:00,2037.5399919873832
2023-01-13 20:00:00,2049.4802309493266
2023-01-14 00:00:00,2070.8434367935815
2023-01-14 04:00:00,2070.2229077819816
2023-01-14 08:00:00,2066.747279135564
2023-01-14 12:00:00,2068.0337940720988
2023-01-14 16:00:00,2067.973238223679
2023-01-14 20:00:00,2071.3619909960557
2023-01-15 00:00:00,2066.695034874182
2023-01-15 04:00:00,2067.023540457115
2023-01-15 08:00:00,2066.757173882038
2023-01-15 12:00:00,2070.4390090449715
2023-01-15 16:00:00,2069.684435678873
2023-01-15 20:00:00,2069.711151494352
2023-01-16 00:00:00,2073.751770164429
2023-01-16 04:00:00,2074.4157076528268
2023-01-16 08:00:00,2068.6437062447494
2023-01-16 12:00:00,2072.1387285942556
2023-01-16 16:00:00,2078.3605451770363
2023-01-16 20:00:00,2075.928020703896
2023-01-17 00:00:00,2074.7192784746458
2023-01-17 04:00:00,2074.8989670706114
2023-01-17 08:00:00,2076.6028424134147
2023-01-17 12:00:00,2075.7382394665265
2023-01-17 16:00:00,2078.91247413535
2023-01-17 20:00:00,2074.921922882431
2023-01-18 00:00:00,2077.3704768448592
2023-01-18 04:00:00,2078.348077796479
2023-01-18 08:00:00,2076.3044168597626
2023-01-18 12:00:00,2073.0997063717996
2023-01-18 16:00:00,2070.404575327242
2023-01-18 20:00:00,2065.8713961776957
2023-01-19 00:00:00,2067.26794069502
2023-01-19 04:00:00,2068.6712136399465
2023-01-19 08:00:00,2067.1824500854855
2023-01-19 12:00:00,2069.808911589514
2023-01-19 16:00:00,2074.0539557217417
2023-01-19 20:00:00,2073.6708311382727
2023-01-20 00:00:00,2073.9904314493792
2023-01-20 04:00:00,2071.4514395041797
2023-01-20 08:00:00,2071.531982740477
2023-01-20 12:00:00,2075.1190262321907
2023-01-20 16:00:00,2082.082948800513
2023-01-20 20:00:00,2105.2473418756013
2023-01-21 00:00:00,2102.8753732508812
2023-01-21 04:00:00,2104.676415004058
2023-01-21 08:00:00,2109.965948574069
2023-01-21 12:00:00,2111.811318791449
2023-01-21 16:00:00,2116.7256336804235
2023-01-21 20:00:00,2116.0913560513386
2023-01-22 00:00:00,2115.6228843276626
