Strategy,Pair,Return (%),Sharpe,Max DD (%),Win Rate (%),Trades,Final Capital
trend_following,BTC/USDT,132.54,1.34,-26.08,37.5,48,4650.71
mean_reversion,BTC/USDT,117.79,1.4,-24.42,73.91,23,4355.78
momentum,BTC/USDT,102.47,1.19,-36.51,36.42,162,4049.42
momentum,ETH/USDT,49.93,0.7,-33.11,33.52,176,2998.6
trend_following,ETH/USDT,16.47,0.39,-45.21,39.62,53,2329.32
mean_reversion,ETH/USDT,10.9,0.33,-37.38,65.0,20,2218.07
