timestamp,portfolio_value
2023-01-01 00:00:00,2000.0
2023-01-01 04:00:00,2000.0
2023-01-01 08:00:00,2000.0
2023-01-01 12:00:00,2000.0
2023-01-01 16:00:00,2000.0
2023-01-01 20:00:00,2000.0
2023-01-02 00:00:00,2000.0
2023-01-02 04:00:00,2000.0
2023-01-02 08:00:00,2000.0
2023-01-02 12:00:00,2000.0
2023-01-02 16:00:00,2000.0
2023-01-02 20:00:00,2000.0
2023-01-03 00:00:00,2000.0
2023-01-03 04:00:00,2000.0
2023-01-03 08:00:00,2000.0
2023-01-03 12:00:00,2000.0
2023-01-03 16:00:00,2000.0
2023-01-03 20:00:00,2000.0
2023-01-04 00:00:00,2000.0
2023-01-04 04:00:00,2000.0
2023-01-04 08:00:00,2000.0
2023-01-04 12:00:00,2000.0
2023-01-04 16:00:00,2000.0
2023-01-04 20:00:00,2000.0
2023-01-05 00:00:00,2000.0
2023-01-05 04:00:00,2000.0
2023-01-05 08:00:00,2000.0
2023-01-05 12:00:00,2000.0
2023-01-05 16:00:00,2000.0
2023-01-05 20:00:00,2000.0
2023-01-06 00:00:00,2000.0
2023-01-06 04:00:00,2000.0
2023-01-06 08:00:00,2000.0
2023-01-06 12:00:00,2000.0
2023-01-06 16:00:00,2000.0
2023-01-06 20:00:00,2000.0
2023-01-07 00:00:00,2000.0
2023-01-07 04:00:00,2000.0
2023-01-07 08:00:00,2000.0
2023-01-07 12:00:00,2000.0
2023-01-07 16:00:00,2000.0
2023-01-07 20:00:00,2000.0
2023-01-08 00:00:00,2000.0
2023-01-08 04:00:00,2000.0
2023-01-08 08:00:00,2000.0
2023-01-08 12:00:00,2000.0
2023-01-08 16:00:00,2000.0
2023-01-08 20:00:00,2000.0
2023-01-09 00:00:00,2000.0
2023-01-09 04:00:00,1999.4006992507743
2023-01-09 08:00:00,2001.3338921590632
2023-01-09 12:00:00,2006.6341895658838
2023-01-09 16:00:00,2004.9415041217758
2023-01-09 20:00:00,2001.9793045945864
2023-01-10 00:00:00,2003.2944846518792
2023-01-10 04:00:00,2002.843913706325
2023-01-10 08:00:00,2004.697952259314
2023-01-10 12:00:00,2006.1135974598722
2023-01-10 16:00:00,2007.7910609125763
2023-01-10 20:00:00,2006.6159231761992
2023-01-11 00:00:00,2005.2307219584488
2023-01-11 04:00:00,2006.5854791933914
2023-01-11 08:00:00,2006.868608233503
2023-01-11 12:00:00,2002.7860701389905
2023-01-11 16:00:00,2008.8383339211614
2023-01-11 20:00:00,2022.5626670791676
2023-01-12 00:00:00,2021.9566054182994
2023-01-12 04:00:00,2021.2243215060248
2023-01-12 08:00:00,2021.0311600016057
2023-01-12 12:00:00,2017.655158185568
2023-01-12 16:00:00,2029.1266451420274
2023-01-12 20:00:00,2026.2609356585592
2023-01-13 00:00:00,2025.998581973453
2023-01-13 04:00:00,2024.0121897862198
2023-01-13 08:00:00,2024.4705879832736
2023-01-13 12:00:00,2028.0080382209153
2023-01-13 16:00:00,2027.5035119034033
2023-01-13 20:00:00,2036.4321862196018
2023-01-14 00:00:00,2066.2205501444637
2023-01-14 04:00:00,2065.60140638258
2023-01-14 08:00:00,2059.401792165865
2023-01-14 12:00:00,2058.0975888323574
2023-01-14 16:00:00,2059.242419049754
2023-01-14 20:00:00,2064.6637612161276
2023-01-15 00:00:00,2058.156025641598
2023-01-15 04:00:00,2059.154763835893
2023-01-15 08:00:00,2060.2677194300677
2023-01-15 12:00:00,2066.37702221432
2023-01-15 16:00:00,2064.7301666811736
2023-01-15 20:00:00,2065.359690489812
2023-01-16 00:00:00,2069.787606899094
2023-01-16 04:00:00,2068.926992072095
2023-01-16 08:00:00,2062.650347515926
2023-01-16 12:00:00,2064.6823547463405
2023-01-16 16:00:00,2075.641912697569
2023-01-16 20:00:00,2071.846176315527
2023-01-17 00:00:00,2068.3001244820584
2023-01-17 04:00:00,2068.236375235614
2023-01-17 08:00:00,2069.7557322758717
2023-01-17 12:00:00,2070.3746312101025
2023-01-17 16:00:00,2075.009732670329
2023-01-17 20:00:00,2068.8260557652247
2023-01-18 00:00:00,2073.1928791466644
2023-01-18 04:00:00,2073.493031848673
2023-01-18 08:00:00,2071.5699295809345
2023-01-18 12:00:00,2064.6239179370996
2023-01-18 16:00:00,2062.5547236462594
2023-01-18 20:00:00,2054.445288254815
2023-01-19 00:00:00,2058.0019649626906
2023-01-19 04:00:00,2059.0192966871987
2023-01-19 08:00:00,2056.6180750711274
2023-01-19 12:00:00,2060.1986577464195
2023-01-19 16:00:00,2065.208286029507
2023-01-19 20:00:00,2064.9798512297475
2023-01-20 00:00:00,2065.8962466473854
2023-01-20 04:00:00,2064.777978616007
2023-01-20 08:00:00,2064.554856253452
2023-01-20 12:00:00,2068.326686668077
2023-01-20 16:00:00,2078.101571122881
2023-01-20 20:00:00,2093.5156076694097
2023-01-21 00:00:00,2090.9337631884127
2023-01-21 04:00:00,2091.568599434255
2023-01-21 08:00:00,2090.4662687144873
2023-01-21 12:00:00,2090.5247055237282
2023-01-21 16:00:00,2094.756061756473
2023-01-21 20:00:00,2085.0528952039194
2023-01-22 00:00:00,2083.9479082655503
