Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.25845323017489524,2023-02-09 20:00:00,1546.1226749999998,0.399600399600331,2023-02-13 08:00:00,1486.07,0.3840795917660066,-16.304487825759505,-0.040801980783963146,Long,Closed,0
1,0,0.26844345252895707,2023-02-13 12:00:00,1476.447855,0.39634275967512167,2023-02-14 16:00:00,1560.31,0.418855003415457,21.697045977193497,0.054743136963005326,Long,Closed,1
2,0,0.2690893419869989,2023-03-09 16:00:00,1489.014135,0.4006778337964647,2023-03-09 20:00:00,1437.32,0.3867674930247533,-14.6977860985583,-0.036682303982963786,Long,Closed,2
3,0,0.2787150623108023,2023-03-10 00:00:00,1427.05317,0.39774121319732103,2023-03-10 08:00:00,1384.6,0.38590887527553686,-12.615988010313888,-0.031719086661641076,Long,Closed,3
4,0,0.2787682863170577,2023-03-10 12:00:00,1417.738515,0.395220536272177,2023-03-12 16:00:00,1512.57,0.42165654683459197,25.619133479245015,0.06482237416326403,Long,Closed,4
5,0,0.20692608309989763,2023-04-19 20:00:00,1934.696865,0.40033924426006706,2023-04-21 16:00:00,1842.7,0.3813026933281814,-19.81819286950828,-0.049503497730120985,Long,Closed,5
6,0,0.2142934663009016,2023-04-21 20:00:00,1849.7043899999999,0.39637956536506636,2023-05-05 16:00:00,1990.97,0.4266518626011061,29.449265808045183,0.07429562061535701,Long,Closed,6
7,0,0.22802353795880248,2023-05-12 00:00:00,1764.131625,0.40226353455744857,2023-05-23 00:00:00,1866.0,0.42549192183112544,22.40063181722546,0.05568645898233377,Long,Closed,7
8,0,0.22329776848928265,2023-06-05 12:00:00,1821.5103,0.4067391852702258,2023-06-06 16:00:00,1891.82,0.4224391843833947,14.870820743497289,0.036561072259651814,Long,Closed,8
9,0,0.23646515458850478,2023-06-10 04:00:00,1732.6458899999998,0.40971037822595235,2023-06-14 20:00:00,1650.95,0.390392146967892,-20.11833378328931,-0.04910379344160149,Long,Closed,9
10,0,0.24545277670876375,2023-06-15 00:00:00,1652.826,0.4056907311164082,2023-06-17 04:00:00,1744.63,0.4282242778294105,21.699631704025553,0.05348811308631412,Long,Closed,10
