Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0.09063812378295141,2023-02-09 16:00:00,22043.726355,1.9980019980018824,2023-02-15 12:00:00,22798.05527,2.066372955572828,64.30658261725472,0.03218544459993598,Long,Closed,0
1,0,0.09234956809047394,2023-03-03 00:00:00,22330.849844999997,2.0622443382785605,2023-03-13 00:00:00,22220.50419,2.0520539646990663,-14.304671882887728,-0.006936458312609812,Long,Closed,1
2,0,0.07155315795509107,2023-04-20 08:00:00,28621.433565,2.0479539567772918,2023-04-26 12:00:00,29805.119985,2.132650458157147,80.51589696462193,0.03931528670269125,Long,Closed,2
3,0,0.077807963923518,2023-05-08 16:00:00,27354.39036,2.128389418280676,2023-05-28 16:00:00,27512.227005000004,2.1406703662606783,8.011888195428014,0.0037642961981552863,Long,Closed,3
4,0,0.08210413060263472,2023-06-05 12:00:00,26020.533765,2.1363933025913866,2023-06-20 12:00:00,27058.394035,2.2216059177471927,80.85461593502758,0.037846315955464054,Long,Closed,4
5,0,0.07616951510347564,2023-07-24 12:00:00,29108.326889999997,2.217167144684481,2023-08-08 16:00:00,29869.297880000002,2.275129936000873,53.470494235426735,0.02411658244332735,Long,Closed,5
6,0,0.07899092278885694,2023-08-16 20:00:00,28744.875255,2.2705842218429098,2023-08-29 12:00:00,27409.72828,2.1651197302290286,-109.9001955660729,-0.04840172608830475,Long,Closed,6
7,0,0.08598966950917152,2023-09-11 12:00:00,25128.527985,2.1607938166816893,2023-09-18 08:00:00,27183.38151,2.3374899921866237,172.19789169563754,0.07969195874507179,Long,Closed,7
8,0,0.08883039088828085,2023-09-24 20:00:00,26261.50419,2.332819682511854,2023-10-01 20:00:00,27978.573715000002,2.4853476396000302,147.70978976599292,0.06331813421899052,Long,Closed,8
9,0,0.09176553711149259,2023-10-11 00:00:00,27029.558025,2.480381910050255,2023-10-16 04:00:00,27835.13547,2.554306156975709,68.88955885830308,0.02777377087744679,Long,Closed,9
10,0,0.07219157380133698,2023-11-14 16:00:00,35311.63699499999,2.549202648170194,2023-12-02 16:00:00,39400.29,2.844368943329079,289.772723567017,0.1136719059094704,Long,Closed,10
11,0,0.06957498652819234,2023-12-11 16:00:00,40800.379994999996,2.8386858884969115,2024-01-01 20:00:00,44157.460225,3.0722547002735645,227.6578711875411,0.08019833124546898,Long,Closed,11
12,0,0.07163133435443307,2024-01-12 20:00:00,42804.121365,3.0661163292438687,2024-01-28 04:00:00,42367.62559,3.0348495544407252,-37.36774068700642,-0.01218731994301712,Long,Closed,12
13,0,0.047989980600061835,2024-03-19 08:00:00,63112.88066999999,3.02878591896706,2024-03-25 12:00:00,69757.15397500001,3.347644465975777,312.4821166235166,0.10317075058578563,Long,Closed,13
14,0,0.050886152678789764,2024-04-02 08:00:00,65655.501345,3.3409558656439913,2024-04-08 08:00:00,72367.79800000001,3.6825188180558173,334.53947772796045,0.10013286352211635,Long,Closed,14
15,0,0.056697596914332314,2024-04-13 16:00:00,64820.404005,3.6751611380991562,2024-05-15 12:00:00,64692.747445,3.6679233179173116,-14.580904638366802,-0.003967419139043857,Long,Closed,15
16,0,0.05414763460880303,2024-06-11 04:00:00,67603.96508999998,3.660594799799128,2024-07-01 00:00:00,63405.97115500001,3.433283358117245,-234.40531984026643,-0.06403476283501777,Long,Closed,16
17,0,0.05882363249221256,2024-07-04 04:00:00,58249.099995,3.426423651107598,2024-07-14 20:00:00,60767.51104500001,3.5745657371775486,141.14109668124283,0.04119195728630968,Long,Closed,17
18,0,0.055768899673737285,2024-08-01 00:00:00,63967.978005,3.5674237476923736,2024-08-23 20:00:00,64005.22138,3.569500769736565,-5.059902473542238,-0.0014183631750545077,Long,Closed,18
19,0,0.05992743592971271,2024-08-27 20:00:00,59444.7075,3.5623689000663035,2024-09-13 20:00:00,60467.751000000004,3.6236772738663223,54.12232762562721,0.015192791410404718,Long,Closed,19
20,0,0.05853083797232897,2024-10-01 16:00:00,61786.86799499999,3.616437159432735,2024-10-14 08:00:00,64887.59997,3.7979256002573685,174.07407806465505,0.048134135999184896,Long,Closed,20
21,0,0.03897586449592562,2024-12-19 16:00:00,97248.31985999999,3.7903373373192153,2025-01-06 12:00:00,102096.876025,3.9793140054077174,181.20701674519825,0.04780762254615908,Long,Closed,21
22,0,0.04369097782896981,2025-01-13 08:00:00,90896.64560999999,3.9713633280739487,2025-01-15 16:00:00,99794.97755,4.36014015157959,380.44532002570054,0.09579715795235066,Long,Closed,22
